at,userName,score,content
2024-11-22 03:25:50,Badrin Tholchah,5,good taste and service
2024-11-21 17:58:03,Cevin Agista Pramudito,5,Aplikasinya bagus dan sangat membantu pembelian
2024-11-21 15:30:17,Nur Kholikoh,1,Hati-hati aplikasi ini melakukan phising. Meminta otp dan login ke akun telegram saya lalu menyebarkan pesan berisi link phising juga. Hati2 bila data anda disalahgunakan!!
2024-11-21 01:00:19,Xavier Borkan,5,ok terbaik
2024-11-20 05:45:10,Andri Chandra,5,good
2024-11-20 02:27:54,Muhammad Yazid,4,terkadang loading lama di beberapa fitur dan terkadang tidak bisa akses web. tapi overall udah bagus 👍
2024-11-19 11:26:24,Rahmat Syarif,1,GK dapat vouchernya saya kayak temann teman lain
2024-11-19 06:37:36,phiong markus,5,good
2024-11-19 04:45:41,Yudhi Bjl,5,puas
2024-11-17 14:59:46,Syaukani Ami,5,kopinya mantap
2024-11-16 06:47:13,Muarip Soleh,5,ngopii ya always forecoffe best coffe
2024-11-15 23:32:27,Arif Tirtana (Atir Channel),5,Exclent
2024-11-15 22:29:23,Dasmanta Putra,3,Good
2024-11-12 06:56:08,Sanry Syamsuddin,5,mantap lah
2024-11-11 07:41:46,Hen Dar,5,ok mantap
2024-11-11 07:14:51,Febriana Dwiputri,1,Parah sih....mau pesen kopi dari aplikasi ini kyknya pesennya dr 3 hari sblm minum kopi baru tu kopi sampai...
2024-11-11 04:53:08,Hasifa Mahardhika,5,mantabsssss👍👍👍👍👍👍
2024-11-11 00:28:47,Anastasia Wulandari,5,Seneng dapet diskon terus
2024-11-10 09:13:04,Andy Hanjaya,1,"Daftar susah nya dapat pin ,terus nipu pengguna baru dapat diskon 50%"
2024-11-10 00:17:57,blue sky,5,bagus
2024-11-09 11:32:36,Fahri Nurrozak,5,mntap kopi ny💥
2024-11-08 07:17:42,Hayaatul Fahmi,5,oke
2024-11-08 05:09:02,Tiene Kais,5,kereenn
2024-11-07 05:33:22,ahmad guntur,5,"mantap sangat membantu aplikasinya,, jadi tinggal ambil ga usah antri"
2024-11-07 04:30:20,Vidia Desy,5,memudahkan utk order online dan vouchernya
2024-11-07 02:22:32,Adiningtyas Agung Amanda,5,Keren
2024-11-06 06:04:06,Dimas Prasetyo,5,Okeh Nice
2024-11-05 23:57:08,irma sri rejeki,5,memudahkan
2024-11-04 13:33:55,dilup sari,5,"Aplikasi bagus, interface mudah. Tapi tolong ditambah fitur ""note"" dan ""no sugar"" please..."
2024-11-04 07:37:30,Nani Eky,5,semoga bs banyak voucher diskon😊
2024-11-03 02:46:09,Azizah,5,okeee bangeeeeet.... enak
2024-11-01 13:24:07,Andy Rahmad,5,mantap bang
2024-11-01 05:12:08,FARIDA,5,aplikasi mudah di gunakan dan membantu
2024-10-30 08:49:17,Pengguna Google,5,mantap
2024-10-30 07:02:20,Wiwin Ajaaah,1,"Update bkn nya lbh bgus, malah diilangin diskon member baru 50℅nya."
2024-10-30 04:43:23,Belfry Tanoyo,5,Good
2024-10-29 12:08:24,Kyyar24,5,Aku suka aplikasinya Banyak Promooonya
2024-10-29 12:06:17,Dani Ismanto,5,Bagus
2024-10-28 17:23:08,Muhammad Iqbaal,1,"Jelek bgt updatenya, Nyesel mending versi sebelumnya jauh lebih bagus UInya"
2024-10-28 05:56:13,Marvel Iteza,5,"istimewa,apalagi tidak pelit diskon"
2024-10-28 01:19:28,Irfan Pradana,5,"Satu titik dua koma, kamu cantik kita ngopi aja Yuk nge-FORE yuk! Jangan Lupa pakai Referal ya E7257F Dapatkan diskon setiap pembelian di Outlet FORE Ngopi mewah ga harus mahal geng"
2024-10-27 14:18:08,Nuaffa Adgava,1,"Tidak bisa daftar, harus update aplikasi. Padahal baru download aplikasinya."
2024-10-27 07:43:37,Ayo Galang Dana,1,udah update app baru tetap ga bisa register
2024-10-27 07:40:21,Evie Fitrah AmalJaya,5,sering2 yah adain voucher promo..bxk poin bxk gratisan heheh
2024-10-27 06:26:04,Nur Lisa,5,Aplikasi fore bagus dan banyak promosi untuk pengguna baru ataupun penggunalama. Sangat lancar tanpa bug!
2024-10-27 03:08:11,SRI Wahyuni,5,bagus
2024-10-26 13:28:45,Erik Siregar,5,mantapppp
2024-10-26 12:44:07,achmad lukman,5,awesome serving coffee shop with new concept to make customer as privelege person 🙏🇮🇩
2024-10-25 08:53:22,Saerah dg Kebo,5,nice
2024-10-25 08:08:29,Alif Arswendi,5,mantap bos
2024-10-25 00:48:38,Detta Priyandikawardhana,5,banyakin Promo ya
2024-10-24 06:18:12,Rovi Nurzaifuddin,5,perfectoo..enak tenan
2024-10-24 00:55:38,yohanes yephe,1,"Error, tiba2 lanjutkan pembayaran. Gak disuruh pilih pembayaran terlebih dahulu. Di batalin gak bisa, di chat ke CS solusi nya reinstal. Solusinya sangat2 bagus"
2024-10-23 11:55:04,hzxsrl,5,bagus banyak promo
2024-10-23 11:30:14,Desman Ambarita,5,kopinya enak pertahankan... 👍🏻👍🏻
2024-10-23 08:35:14,eldhorado dhera,5,Banyak Promonya. Terimakasih Fore
2024-10-22 17:57:58,fluito firo,1,"Penipu asu, diblok kabeh akun"
2024-10-22 03:56:01,Rahmat Hidayat,5,Good
2024-10-22 03:11:25,Irvan Sp,2,"Klaim poin, poin nya kepotong. Orderan nya ga ada di aplikasi. Hangus !!!"
2024-10-20 09:10:07,kurniawan Zulkarnain,5,mantap
2024-10-20 06:49:42,Nazwa claudya,5,aplikasi yang bagus dan menarik
2024-10-20 05:14:38,AMELIA MANIK,5,fore is the best coffee
2024-10-19 11:36:49,Muzdalifah Wirawan,5,Kopiii favorit....Tempatnya Nyamannn...Ga perlu jauh jauh kl pengen kopi fore sekarang...
2024-10-18 07:37:03,Ageza Rizqi,5,ok
2024-10-18 07:18:49,Ridwan Rizki Yanto,5,"Mantap, serba cepat & mudah. Banyak voucher jugaaa 🤭"
2024-10-18 07:05:28,Annas Kristiantara G,5,enak cocok sekali
2024-10-18 05:33:01,Amie Takumi,1,"Pesanannya lama, judulnya grabfood express tpi orderannya belum disiapin, dimana kata expressnya?"
2024-10-18 01:04:53,Krisna Tama (krsntama),1,"tiap kali klaim vocer invalid, padahal fresh"
2024-10-17 04:35:37,Dyah Tantri,5,aneka menu kopi disini enak
2024-10-16 08:25:28,Asna Chan,1,LEMOT ABIIIS!!!
2024-10-15 09:52:53,Surya Andika,5,"keren banget nih aplikasinya, salut sama development nya✨"
2024-10-14 07:26:58,Jabno WSB,5,Jossss... banyakin discount
2024-10-14 05:21:57,fahrul fadila,5,baik
2024-10-14 04:32:37,Ayoe Fitria,5,The best coffee 🫶
2024-10-13 15:43:11,amanda zikri febriansyah,1,"Ndk jelas asli sumpah, udah pesan lewat aplikasi 3 jam barang nya blum sampai+GK bisa , terus uangnya masih belum kembali, padahal udah bayar lewat aplikasi behh, inimah yang rugi pelanggan, ndk rela 28K sia"" gitu, udah pesan lama, ndk diantar antar, apa yang didapat ?"
